DT_COMPTC,CAPTC_DIA,RESG_DIA
2005-01-03,21.124,0.502
2005-01-04,9.247,5.47
2005-01-05,8.484,5.792
2005-01-06,21.616,7.088
2005-01-07,5.981,8.309
2005-01-10,16.542,14.013
2005-01-11,4.707,2.898
2005-01-12,8.858,3.734
2005-01-13,5.952,4.2
2005-01-14,6.857,3.798
2005-01-17,4.256,3.088
2005-01-18,6.478,4.974
2005-01-19,19.98,4.116
2005-01-20,6.13,1.717
2005-01-21,4.407,1.891
2005-01-24,2.349,2.374
2005-01-25,12.246,2.247
2005-01-26,3.063,1.387
2005-01-27,5.152,1.806
2005-01-28,10.905,9.388
2005-01-31,4.065,33.164
2005-02-01,21.961,3.49
2005-02-02,6.169,4.622
2005-02-03,8.039,4.846
2005-02-04,17.208,13.271
2005-02-09,9.582,6.922
2005-02-10,23.763,14.618
2005-02-11,26.706,21.803
2005-02-14,15.076,9.524
2005-02-15,20.085,19.015
2005-02-16,30.75,12.07
2005-02-17,15.062,3.585
2005-02-18,15.998,25.352
2005-02-21,19.945,21.555
2005-02-22,99.028,22.76
2005-02-23,18.165,14.077
2005-02-24,25.186,12.614
2005-02-25,29.427,21.342
2005-02-28,23.845,15.431
2005-03-01,27.239,26.758
2005-03-02,32.365,61.563
2005-03-03,113.145,73.632
2005-03-04,35.034,7.341
2005-03-07,20.495,8.256
2005-03-08,18.321,27.939
2005-03-09,16.045,69.013
2005-03-10,29.733,43.695
2005-03-11,23.769,22.38
2005-03-14,26.393,17.225
2005-03-15,28.837,36.356
2005-03-16,40.717,80.596
2005-03-17,35.767,13.63
2005-03-18,22.993,16.532
2005-03-21,34.746,22.678
2005-03-22,28.142,22.948
2005-03-23,32.75,16.37
2005-03-24,46.367,39.236
2005-03-28,35.578,29.497
2005-03-29,21.262,29.91
2005-03-30,33.995,47.959
2005-03-31,88.007,29.475
2005-04-01,81.846,40.786
2005-04-04,65.105,20.608
2005-04-05,30.224,23.009
2005-04-06,48.13,35.089
2005-04-07,89.355,34.165
2005-04-08,29.211,35.713
2005-04-11,23.144,21.112
2005-04-12,21.166,26.358
2005-04-13,38.161,40.28
2005-04-14,61.56,21.29
2005-04-15,36.312,42.18
2005-04-18,25.101,37.662
2005-04-19,21.343,40.31
2005-04-20,14.804,52.799
2005-04-22,19.864,16.884
2005-04-25,17.047,10.948
